"CRUK0052_SU_T1.R1","CRUK0052_SU_T1.R2","CRUK0052_SU_T1.R3","CRUK0052_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"subclonal","absent","clonal","absent"
"absent","absent","clonal","absent"
"subclonal","absent","absent","absent"
"clonal","absent","clonal","clonal"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","absent","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
