"CRUK0369_SU_LN3","CRUK0369_SU_T1.R1","CRUK0369_SU_T1.R2","CRUK0369_SU_T1.R3","CRUK0369_SU_T1.R4","CRUK0369_SU_T1.R6","CRUK0369_SU_T1.R7","CRUK0369_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","clonal","clonal","clonal","clonal","clonal","absent"
"clonal","absent","absent","absent","absent","absent","absent","subclonal"
"clonal","clonal","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","subclonal","absent","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","clonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","clonal","absent","clonal","clonal","absent"
"clonal","clonal","clonal","clonal","clonal","subclonal","clonal","clonal"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","clonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","clonal","subclonal","clonal","subclonal","clonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","clonal","clonal","clonal","clonal","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent","clonal","absent"
"absent","absent","absent","clonal","absent","clonal","clonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","clonal","subclonal","clonal","clonal","absent"
